quarter,tsnh,no_nh,no_phai_tra,tong_ts,vcsh,hang_ton_kho,phai_thu_kh,tien,doanh_thu,ebt,lai_vay,lnst,cfo,ticker,nganh
2026-Q1,268411171249.0,105917964033.0,676318612549.0,1397909268639.0,721590656090.0,136933766306.0,30200014142.0,17496423176.0,44125900320.0,6720759783.0,0.0,5293870702.0,819904327.0,D2D,Bat dong san
2025-Q4,307200952428.0,104917831363.0,681707272821.0,1401890509209.0,720183236388.0,135477094217.0,20906243437.0,61494913764.0,35811843031.0,8810022141.0,0.0,6467872704.0,32656024449.0,D2D,Bat dong san
2025-Q3,338088995064.0,98047559706.0,681579632678.0,1399518548155.0,717938915477.0,138646066475.0,34269756911.0,37933794030.0,101610423686.0,22812953725.0,0.0,18298567872.0,40108390978.0,D2D,Bat dong san
2025-Q2,696446182136.0,237924206631.0,828358681797.0,1536106084809.0,707747403012.0,165455356611.0,201125011569.0,240601411563.0,551522490811.0,258925620377.0,0.0,206822013577.0,268835466721.0,D2D,Bat dong san
2026-Q1,5911944750363.0,1319743274530.0,2023853477993.0,12794319073192.0,10770465595199.0,3881027857392.0,607469035922.0,12287325597.0,76822427010.0,7938856915.0,-3419770549.0,1972738402.0,-22683644509.0,ITA,Bat dong san
2025-Q4,5907086558246.0,1357933441334.0,2007144331929.0,12775637188726.0,10768492856797.0,3838408734804.0,659904578426.0,4798746913.0,77897190927.0,45113720359.0,-3581645437.0,38275725405.0,-2093444408.0,ITA,Bat dong san
2025-Q3,5834908375154.0,1322553631220.0,1970353844303.0,12700570975695.0,10730217131392.0,3794158334994.0,707388043511.0,11068043915.0,85970085723.0,27929242436.0,-3590161646.0,21452674505.0,13075129769.0,ITA,Bat dong san
2025-Q2,5798774245600.0,1306174892784.0,1952558286637.0,12661322743524.0,10708764456887.0,3756875073233.0,706060348884.0,4168184033.0,90107915000.0,18769157557.0,-3724709951.0,14272971459.0,-33609236690.0,ITA,Bat dong san
2026-Q1,50569480123328.0,44814349029703.0,117504594708591.0,143533584328554.0,26028989619963.0,2302034441653.0,14826175310447.0,6950828780635.0,21021315315606.0,1142018722959.0,-828588470294.0,1023398041226.0,4569251899480.0,VJC,Dich vu
2025-Q4,49719146269227.0,46604740621386.0,114581827820985.0,139391011113158.0,24809183292173.0,2194104588398.0,13684613276910.0,10986580442252.0,29324050804560.0,579054662102.0,-1047003453249.0,509187088658.0,1228457028292.0,VJC,Dich vu
2025-Q3,39859762454987.0,37274086469932.0,90816926905756.0,115228366341789.0,24411439436033.0,2009708021115.0,9251556874178.0,5470360413800.0,16931445098268.0,400028034822.0,-928197656655.0,320248044870.0,-189777009723.0,VJC,Dich vu
2025-Q2,40758031639436.0,37255797768509.0,88452902329759.0,112159191865525.0,23706289535766.0,2328542997582.0,9650921163878.0,7148653555458.0,17885303707141.0,814847802419.0,-834494756892.0,652662748871.0,1319210905564.0,VJC,Dich vu
2026-Q1,35730653762336.0,57946126250914.0,67831397875139.0,79063570319927.0,11232172444788.0,3812004598277.0,6346325355538.0,9949763562420.0,36882751087437.0,4680159176403.0,-205613043210.0,4514536071155.0,5398939755473.0,HVN,Dich vu
2025-Q4,32050584150286.0,56433407840658.0,66445216324312.0,73174881280887.0,6729664956575.0,3795531249840.0,5421723761733.0,9895757265015.0,32285117933283.0,586408954266.0,-162430279402.0,432893888113.0,2983025869337.0,HVN,Dich vu
